name|light|dark
divider|rgba(0,0,0,0.12)|rgba(255,255,255,0.12)
Colors/warning/main|→Colors/yellow/700|→Colors/orange/300
Colors/warning/dark|→Colors/orange/800|→Colors/orange/700
Colors/warning/light|→Colors/orange/50|rgba(253,247,244,0)
Colors/warning/contrastText|#FFFFFF|rgba(0,0,0,0.87)
Colors/warning/color|→Colors/warning/dark|→Colors/warning/dark
Colors/warning/background|→Colors/warning/light|#191207
Colors/warning/_states/hover|rgba(239,108,0,0.04)|rgba(255,167,38,0.08)
Colors/warning/_states/selected|rgba(239,108,0,0.08)|rgba(255,167,38,0.16)
Colors/warning/_states/focusVisible|rgba(239,108,0,0.3)|rgba(255,167,38,0.3)
Colors/warning/_states/outlinedBorder|rgba(239,108,0,0.5)|rgba(255,167,38,0.5)
Colors/info/main|→Colors/cerulean/700|→Colors/cerulean/300
Colors/info/dark|→Colors/cerulean/800|→Colors/cerulean/700
Colors/info/light|→Colors/cerulean/50|rgba(225,246,251,0)
Colors/info/contrastText|#FFFFFF|rgba(0,0,0,0.87)
Colors/info/color|→Colors/info/dark|→Colors/info/dark
Colors/info/background|→Colors/info/light|#071318
Colors/info/_states/hover|rgba(2,136,209,0.04)|rgba(41,182,246,0.08)
Colors/info/_states/selected|rgba(2,136,209,0.08)|rgba(41,182,246,0.16)
Colors/info/_states/focusVisible|rgba(2,136,209,0.3)|rgba(41,182,246,0.3)
Colors/info/_states/outlinedBorder|rgba(2,136,209,0.5)|rgba(41,182,246,0.5)
Colors/success/main|→Colors/green/700|→Colors/green/300
Colors/success/dark|→Colors/green/800|→Colors/green/700
Colors/success/light|→Colors/green/50|rgba(239,253,241,0)
Colors/success/contrastText|#FFFFFF|rgba(0,0,0,0.87)
Colors/success/color|→Colors/green/700|→Colors/success/dark
Colors/success/background|#EDF7ED|#0C130D
Colors/success/_states/hover|rgba(46,125,50,0.04)|rgba(102,187,106,0.08)
Colors/success/_states/selected|rgba(46,125,50,0.08)|rgba(102,187,106,0.16)
Colors/success/_states/focusVisible|rgba(46,125,50,0.3)|rgba(102,187,106,0.3)
Colors/success/_states/outlinedBorder|rgba(46,125,50,0.5)|rgba(102,187,106,0.5)
Colors/black_states/main|#000000|#000000
Colors/black_states/hover|rgba(0,0,0,0.04)|rgba(0,0,0,0.08)
Colors/black_states/selected|rgba(0,0,0,0.08)|rgba(0,0,0,0.16)
Colors/black_states/focus|rgba(0,0,0,0.12)|rgba(0,0,0,0.12)
Colors/black_states/focusVisible|rgba(0,0,0,0.3)|rgba(0,0,0,0.3)
Colors/black_states/outlinedBorder|rgba(0,0,0,0.5)|rgba(0,0,0,0.5)
Colors/white_states/main|#FFFFFF|#FFFFFF
Colors/white_states/hover|rgba(255,255,255,0.04)|rgba(255,255,255,0.08)
Colors/white_states/selected|rgba(255,255,255,0.08)|rgba(255,255,255,0.16)
Colors/white_states/focus|rgba(255,255,255,0.12)|rgba(255,255,255,0.12)
Colors/white_states/focusVisible|rgba(255,255,255,0.3)|rgba(255,255,255,0.3)
Colors/white_states/outlinedBorder|rgba(255,255,255,0.5)|rgba(255,255,255,0.5)
Colors/text/primary|rgba(0,0,0,0.87)|#FFFFFF
Colors/text/secondary|rgba(0,0,0,0.6)|rgba(255,255,255,0.7)
Colors/text/disabled|rgba(0,0,0,0.38)|rgba(255,255,255,0.38)
Colors/text/_states/hover|rgba(0,0,0,0.04)|rgba(255,255,255,0.08)
Colors/text/_states/selected|rgba(0,0,0,0.08)|rgba(255,255,255,0.16)
Colors/text/_states/focusVisible|rgba(0,0,0,0.3)|rgba(255,255,255,0.3)
Colors/background/default|#FFFFFF|→Colors/slate/A100
Colors/background/secondary|→Colors/gray/50|→Colors/slate/900
Colors/background/tertiary|→Colors/gray/100|→Colors/slate/800
Colors/background/paper-elevation-0|#FFFFFF|#121212
Colors/background/paper-elevation-1|#FFFFFF|#1E1E1E
Colors/background/paper-elevation-2|#FFFFFF|#232323
Colors/background/paper-elevation-3|#FFFFFF|#252525
Colors/background/paper-elevation-4|#FFFFFF|#272727
Colors/background/paper-elevation-5|#FFFFFF|#2A2A2A
Colors/background/paper-elevation-6|#FFFFFF|#2C2C2C
Colors/background/paper-elevation-8|#FFFFFF|#2E2E2E
Colors/background/paper-elevation-12|#FFFFFF|#333333
Colors/background/paper-elevation-16|#FFFFFF|#363636
Colors/background/paper-elevation-24|#FFFFFF|#383838
Colors/elevation/outlined|#E0E0E0|→divider
Colors/avatar/fill|→Colors/gray/400|→Colors/gray/600
Colors/standard/enabledBorder|rgba(0,0,0,0.25)|rgba(255,255,255,0.42)
Colors/standard/hoverBorder|#000000|#FFFFFF
Colors/filled/enabledFill|rgba(0,0,0,0.06)|rgba(255,255,255,0.09)
Colors/filled/hoverFill|rgba(0,0,0,0.09)|rgba(255,255,255,0.12)
Colors/outlined/enabledBorder|rgba(0,0,0,0.12)|rgba(255,255,255,0.23)
Colors/outlined/hoverBorder|#000000|#FFFFFF
Colors/switch/knobFillEnabled|→Colors/gray/50|→Colors/gray/300
Colors/switch/slideFill|#000000|rgba(255,255,255,0.38)
Colors/switch/knowFillDisabled|→Colors/gray/100|→Colors/gray/600
Colors/rating/enabledBorder|rgba(0,0,0,0.23)|rgba(255,255,255,0.23)
Colors/rating/activeFill|#FFB400|#FFB400
Colors/_states/focus|rgba(0,0,0,0.12)|rgba(255,255,255,0.12)
Colors/snackbar/fill|#323232|→Colors/background/paper-elevation-6
Colors/chip/defaultCloseFill|#000000|#FFFFFF
Colors/chip/defaultHoverFill|rgba(0,0,0,0.12)|rgba(255,255,255,0.12)
Colors/chip/defaultEnabledBorder|→Colors/gray/400|→Colors/gray/700
Colors/chip/defaultFocusFill|rgba(0,0,0,0.2)|rgba(255,255,255,0.2)
Colors/tooltip/fill|rgba(21,21,21,0.9)|rgba(97,97,97,0.9)
Colors/backdrop/fill|rgba(0,0,0,0.5)|rgba(0,0,0,0.5)
Colors/appBar/defaultFill|→Colors/gray/100|→Colors/background/paper-elevation-4
Colors/breadcrumbs/collapseFill|→Colors/gray/100|→Colors/gray/600
Colors/error/color|→Colors/error/dark|→Colors/error/dark
Colors/error/background|→Colors/error/light|#160B0B
Colors/error/main|→Colors/red/600|→Colors/red/300
Colors/error/dark|→Colors/red/700|→Colors/red/700
Colors/error/light|→Colors/red/50|rgba(252,247,247,0)
Colors/error/contrastText|#FFFFFF|rgba(0,0,0,0.87)
Colors/error/_states/hover|rgba(243,92,73,0.04)|rgba(243,92,73,0.08)
Colors/error/_states/selected|rgba(243,92,73,0.08)|rgba(243,92,73,0.16)
Colors/error/_states/focusVisible|rgba(243,92,73,0.3)|rgba(243,92,73,0.3)
Colors/error/_states/outlinedBorder|rgba(243,92,73,0.5)|rgba(243,92,73,0.5)
Colors/primary/main|→Colors/blurple/700|→Colors/blurple/200
Colors/primary/dark|→Colors/blurple/900|→Colors/blurple/400
Colors/primary/light|→Colors/blurple/100|→Colors/blurple/50
Colors/primary/contrastText|#FFFFFF|rgba(0,0,0,0.87)
Colors/primary/_states/hover|rgba(75,63,255,0.04)|rgba(148,168,255,0.08)
Colors/primary/_states/selected|rgba(75,63,255,0.08)|rgba(148,168,255,0.16)
Colors/primary/_states/focus|rgba(75,63,255,0.12)|rgba(148,168,255,0.12)
Colors/primary/_states/focusVisible|rgba(75,63,255,0.3)|rgba(148,168,255,0.3)
Colors/primary/_states/outlinedBorder|rgba(75,63,255,0.5)|rgba(148,168,255,0.5)
Colors/stepper/connector|→Colors/gray/400|→Colors/gray/600
Colors/_native/scrollbar-bg|→Colors/gray/200|→Colors/gray/700
Colors/secondary/main|→Colors/slate/700|→Colors/slate/200
Colors/secondary/dark|→Colors/slate/900|→Colors/slate/400
Colors/secondary/light|→Colors/slate/100|→Colors/slate/50
Colors/secondary/contrastText|#FFFFFF|rgba(0,0,0,0.87)
Colors/secondary/_states/hover|rgba(84,101,116,0.04)|rgba(156,177,195,0.08)
Colors/secondary/_states/selected|rgba(84,101,116,0.08)|rgba(156,177,195,0.16)
Colors/secondary/_states/focus|rgba(84,101,116,0.12)|rgba(156,177,195,0.12)
Colors/secondary/_states/focusVisible|rgba(84,101,116,0.3)|rgba(156,177,195,0.3)
Colors/secondary/_states/outlinedBorder|rgba(84,101,116,0.5)|rgba(156,177,195,0.5)
Colors/action/active|rgba(0,0,0,0.56)|rgba(255,255,255,0.56)
Colors/action/hover|rgba(0,0,0,0.04)|rgba(255,255,255,0.08)
Colors/action/selected|rgba(0,0,0,0.08)|rgba(255,255,255,0.16)
Colors/action/focus|rgba(0,0,0,0.12)|rgba(255,255,255,0.12)
Colors/action/disabled|rgba(0,0,0,0.38)|rgba(255,255,255,0.38)
Colors/action/disabledBackground|rgba(0,0,0,0.12)|rgba(255,255,255,0.12)
Data Visualization/Series 1-18 (see separate list)
